timestamp,test-class,test-method,time,description,result
"2022-05-14 11:51:47.097","acme.testing.inventor.item.InventorItemCreationTest","positiveTest",9594,""[1] recordIndex=0, name=aaaaaa, description=aaaaaa, code=GOS-001, technology=cool, price=45 EUR, link=null, itemType=COMPONENT"","Cannot find 'By.xpath: //div[@id='mainMenu']/ul/li[a[normalize-space()='Iventor']]/div[contains(@class, 'dropdown-menu')]/a[normalize-space()='My items']'"
"2022-05-14 11:51:52.831","acme.testing.inventor.item.InventorItemCreationTest","negativeTest",5481,""[1] recordIndex=0, name=null, description=null, code=null, technology=null, price=null, link=null, itemType=null"","Cannot find option with requested value in select"
"2022-05-14 11:52:00.472","acme.testing.inventor.item.InventorItemCreationTest","negativeTest",7371,""[2] recordIndex=1, name=aa, description=aa, code=GOS-001, technology=aa, price=12 EUR, link=null, itemType=TOOL"","OK"
"2022-05-14 11:52:08.067","acme.testing.inventor.item.InventorItemCreationTest","negativeTest",7359,""[3] recordIndex=2, name=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, description=aa, code=GOS-002, technology=aa, price=12 EUR, link=null, itemType=TOOL"","OK"
"2022-05-14 11:52:15.712","acme.testing.inventor.item.InventorItemCreationTest","negativeTest",7406,""[4] recordIndex=3, name=aa, description=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, code=GOS-002, technology=aa, price=12 EUR, link=null, itemType=TOOL"","OK"
"2022-05-14 11:52:23.343","acme.testing.inventor.item.InventorItemCreationTest","negativeTest",7381,""[5] recordIndex=4, name=aa, description=aa, code=GOS-002, technology=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, price=12 EUR, link=null, itemType=TOOL"","OK"
"2022-05-14 11:52:30.906","acme.testing.inventor.item.InventorItemCreationTest","negativeTest",7311,""[6] recordIndex=5, name=aa, description=aa, code=GOS-002, technology=aa, price=-12 EUR, link=null, itemType=TOOL"","OK"
"2022-05-14 11:52:38.42","acme.testing.inventor.item.InventorItemCreationTest","negativeTest",7264,""[7] recordIndex=6, name=aa, description=aa, code=GOS-002, technology=aa, price=12 EUX, link=null, itemType=TOOL"","OK"
"2022-05-14 11:52:46.003","acme.testing.inventor.item.InventorItemCreationTest","negativeTest",7335,""[8] recordIndex=7, name=aa, description=aa, code=GOS-002, technology=aa, price=12 EUR, link=fsdf, itemType=TOOL"","OK"
