timestamp,test-class,test-method,time,description,result
"2022-05-18 02:01:27.439","acme.testing.inventor.item.InventorItemPublishTest","positiveTest",5062,""[1] recordIndex=0, name=yyyyypublished, description=aaaaaa, code=GOS-001, technology=cool, price=EUR 45.00, link=null, itemType=COMPONENT"","Record index 3 is out of range"
"2022-05-18 02:01:35.676","acme.testing.inventor.item.InventorItemPublishTest","negativeTest",8036,""[1] recordIndex=0, name=null, description=null, code=null, technology=null, price=null, link=null, itemType=COMPONENT"","OK"
"2022-05-18 02:01:42.697","acme.testing.inventor.item.InventorItemPublishTest","negativeTest",6837,""[2] recordIndex=1, name=aa, description=aa, code=ITM-961-A, technology=aa, price=12 EUR, link=null, itemType=TOOL"","OK"
"2022-05-18 02:01:50.283","acme.testing.inventor.item.InventorItemPublishTest","negativeTest",7382,""[3] recordIndex=2, name=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, description=aa, code=GOS-002, technology=aa, price=12 EUR, link=null, itemType=TOOL"","OK"
"2022-05-18 02:01:58.464","acme.testing.inventor.item.InventorItemPublishTest","negativeTest",7973,""[4] recordIndex=3, name=aa, description=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, code=GOS-002, technology=aa, price=12 EUR, link=null, itemType=TOOL"","OK"
"2022-05-18 02:02:07.079","acme.testing.inventor.item.InventorItemPublishTest","negativeTest",8373,""[5] recordIndex=4, name=aa, description=aa, code=GOS-002, technology=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, price=12 EUR, link=null, itemType=TOOL"","OK"
"2022-05-18 02:02:16.114","acme.testing.inventor.item.InventorItemPublishTest","negativeTest",8783,""[6] recordIndex=5, name=aa, description=aa, code=GOS-002, technology=aa, price=-12 EUR, link=null, itemType=TOOL"","OK"
"2022-05-18 02:02:25.634","acme.testing.inventor.item.InventorItemPublishTest","negativeTest",9234,""[7] recordIndex=6, name=aa, description=aa, code=GOS-002, technology=aa, price=12 EUX, link=null, itemType=TOOL"","OK"
"2022-05-18 02:02:35.802","acme.testing.inventor.item.InventorItemPublishTest","negativeTest",9866,""[8] recordIndex=7, name=aa, description=aa, code=GOS-002, technology=aa, price=12 EUR, link=fsdf, itemType=TOOL"","OK"
